Voltage[V]	Current[mA]
49.914000	-2.587891E-10
49.920000	-3.813053E-10
49.926000	-3.003791E-10
49.932000	-2.608380E-10
49.938000	-2.850133E-10
49.944000	-2.428089E-10
49.950000	-3.046815E-10
49.956000	-2.673940E-10
49.962000	-3.341836E-10
49.968000	-2.968962E-10
49.974000	-2.874719E-10
49.980000	-3.184081E-10
49.986000	-2.981255E-10
49.992000	-2.936181E-10
49.998000	-2.962816E-10
50.004000	-3.597931E-10
50.010000	-2.950523E-10
50.016000	-2.839891E-10
50.022000	-2.962815E-10
50.028000	-3.186130E-10
50.034000	-3.052961E-10
50.040000	-1.444682E-10
50.046000	-2.934133E-10
50.052000	-3.616372E-10
50.058000	-3.292665E-10
50.064000	-2.540770E-10
50.070000	-2.827598E-10
50.076000	-2.911596E-10
50.082000	-3.427884E-10
50.088000	-3.261935E-10
50.094000	-3.489348E-10
50.100000	-2.887011E-10
50.106000	-2.927987E-10
50.112000	-2.762037E-10
50.118000	-2.997645E-10
50.124000	-3.347983E-10
50.130000	-2.354332E-10
50.136000	-3.102132E-10
50.142000	-2.639111E-10
50.148000	-3.399201E-10
50.154000	-2.952571E-10
50.160000	-3.157447E-10
50.166000	-3.446324E-10
50.172000	-2.731305E-10
50.178000	-3.575395E-10
50.184000	-2.678037E-10
50.190000	-2.852183E-10
50.196000	-2.536674E-10
50.202000	-2.682135E-10
50.208000	-3.561055E-10
50.214000	-3.825345E-10
50.220000	-2.446527E-10
50.226000	-2.938231E-10
50.232000	-3.794613E-10
50.238000	-2.604282E-10
50.244000	-2.696478E-10
50.250000	-2.843988E-10
50.256000	-7.390193E-10
50.262000	-7.296638E-11
50.268000	-1.932288E-10
50.274000	-2.299017E-10
50.280000	-2.534625E-10
50.286000	-2.325651E-10
50.292000	-3.022231E-10
50.298000	-3.026328E-10
50.304000	-2.401455E-10
50.310000	-3.239398E-10
50.316000	-2.616575E-10
50.322000	-2.880864E-10
50.328000	-2.577648E-10
50.334000	-2.774330E-10
50.340000	-2.946425E-10
50.346000	-2.364577E-10
50.352000	-2.733355E-10
50.358000	-2.383016E-10
50.364000	-2.399406E-10
50.370000	-2.573550E-10
50.376000	-3.751589E-10
50.382000	-3.020181E-10
50.388000	-3.011986E-10
50.394000	-2.915694E-10
50.400000	-3.052960E-10
50.406000	-1.944580E-10
50.412000	-3.364373E-10
50.418000	-3.061156E-10
50.424000	-2.315406E-10
50.430000	-3.085741E-10
50.436000	-2.794817E-10
50.442000	-2.305163E-10
50.448000	-2.889060E-10
50.454000	-2.594038E-10
50.460000	-3.175889E-10
50.466000	-2.901353E-10
50.472000	-3.128766E-10
50.478000	-3.759784E-10
50.484000	-2.981255E-10
50.490000	-3.259887E-10
50.496000	-2.872671E-10
50.502000	-2.460869E-10
50.508000	-2.673941E-10
50.514000	-4.415389E-10
50.520000	-2.880864E-10
50.526000	-3.448372E-10
50.532000	-2.538722E-10
50.538000	-2.671891E-10
50.544000	-2.809157E-10
50.550000	-2.559209E-10
50.556000	-2.989450E-10
50.562000	-2.899304E-10
50.568000	-2.637063E-10
50.574000	-2.313358E-10
50.580000	-3.276276E-10
50.586000	-3.395105E-10
50.592000	-2.331797E-10
50.598000	-3.370519E-10
50.604000	-2.995595E-10
50.610000	-2.782525E-10
50.616000	-3.079595E-10
50.622000	-3.796662E-10
50.628000	-3.440178E-10
50.634000	-2.587893E-10
50.640000	-3.257838E-10
50.646000	-2.286724E-10
50.652000	-3.444275E-10
50.658000	-2.815305E-10
50.664000	-4.122417E-10
50.670000	-2.696477E-10
50.676000	-3.327496E-10
50.682000	-2.983304E-10
50.688000	-3.727005E-10
50.694000	-2.440382E-10
50.700000	-3.167692E-10
50.706000	-2.612478E-10
50.712000	-2.954621E-10
50.718000	-2.860378E-10
50.724000	-3.847881E-10
50.730000	-2.778427E-10
50.736000	-2.280578E-10
50.742000	-3.218911E-10
50.748000	-3.294716E-10
50.754000	-3.255789E-10
50.760000	-2.989449E-10
50.766000	-2.690330E-10
50.772000	-3.079594E-10
50.778000	-2.893157E-10
50.784000	-2.971010E-10
50.790000	-2.954621E-10
50.796000	-3.362325E-10
50.802000	-2.729257E-10
50.808000	-3.854028E-10
50.814000	-3.089839E-10
50.820000	-2.762037E-10
50.826000	-2.831695E-10
50.832000	-2.065457E-10
50.838000	-2.940279E-10
50.844000	-3.391007E-10
50.850000	-4.083488E-10
50.856000	-3.442227E-10
50.862000	-3.114424E-10
50.868000	-2.807109E-10
50.874000	-2.651403E-10
50.880000	-3.266032E-10
50.886000	-2.729257E-10
50.892000	-3.218911E-10
50.898000	-3.247594E-10
50.904000	-3.401252E-10
50.910000	-2.850134E-10
50.916000	-3.352081E-10
50.922000	-2.206822E-10
50.928000	-2.960767E-10
50.934000	-2.917743E-10
50.940000	-2.594039E-10
50.946000	-2.893158E-10
50.952000	-2.364576E-10
50.958000	-3.796663E-10
50.964000	-2.571502E-10
50.970000	-2.753842E-10
50.976000	-2.837842E-10
50.982000	-2.858329E-10
50.988000	-3.122619E-10
50.994000	-3.095985E-10
51.000000	-2.841939E-10
51.006000	-2.878817E-10
51.012000	-3.296765E-10
51.018000	-2.167895E-10
51.024000	-2.409650E-10
51.030000	-2.846037E-10
51.036000	-3.143107E-10
51.042000	-3.597933E-10
51.048000	-2.667793E-10
51.054000	-3.171790E-10
51.060000	-3.470909E-10
51.066000	-2.112579E-10
51.072000	-3.163595E-10
51.078000	-2.198627E-10
51.084000	-3.327496E-10
51.090000	-2.766134E-10
51.096000	-2.850134E-10
51.102000	-3.370520E-10
51.108000	-2.313358E-10
51.114000	-3.032474E-10
51.120000	-2.321553E-10
51.126000	-2.956669E-10
51.132000	-2.577648E-10
51.138000	-3.700371E-10
51.144000	-2.821451E-10
51.150000	-2.620672E-10
51.156000	-2.864475E-10
51.162000	-3.309057E-10
51.168000	-2.602233E-10
51.174000	-3.171789E-10
51.180000	-3.935979E-10
51.186000	-3.206618E-10
51.192000	-2.884963E-10
51.198000	-3.114424E-10
51.204000	-3.155400E-10
51.210000	-2.846037E-10
51.216000	-2.962815E-10
51.222000	-2.956670E-10
51.228000	-3.136961E-10
51.234000	-2.725160E-10
51.240000	-3.489349E-10
51.246000	-2.882915E-10
51.252000	-3.114425E-10
51.258000	-3.116473E-10
51.264000	-3.559007E-10
51.270000	-3.102132E-10
51.276000	-3.003790E-10
51.282000	-3.286520E-10
51.288000	-3.470910E-10
51.294000	-3.241447E-10
51.300000	-2.946426E-10
51.306000	-3.003791E-10
51.312000	-2.477260E-10
51.318000	-2.680088E-10
51.324000	-2.632966E-10
51.330000	-3.329546E-10
51.336000	-3.046815E-10
51.342000	-2.770232E-10
51.348000	-2.792769E-10
51.354000	-2.241652E-10
51.360000	-2.813257E-10
51.366000	-2.909548E-10
51.372000	-3.272179E-10
51.378000	-2.206822E-10
51.384000	-2.719013E-10
51.390000	-3.163596E-10
51.396000	-3.602031E-10
51.402000	-2.927987E-10
51.408000	-2.766134E-10
51.414000	-3.444275E-10
51.420000	-2.721061E-10
51.426000	-3.255789E-10
51.432000	-2.352284E-10
