Voltage[V]	Current[mA]
51.432000	1.605496E-5
51.438000	1.659532E-5
51.444000	1.655703E-5
51.450000	1.655723E-5
51.456000	2.222343E-5
51.462000	2.212100E-5
51.468000	2.488552E-5
51.474000	2.478601E-5
51.480000	2.784584E-5
51.486000	3.115254E-5
51.492000	3.099009E-5
51.498000	3.472789E-5
51.504000	3.495967E-5
51.510000	3.901457E-5
51.516000	4.307606E-5
51.522000	4.343260E-5
51.528000	4.810397E-5
51.534000	4.810026E-5
51.540000	5.347961E-5
51.546000	5.876519E-5
51.552000	5.887809E-5
51.558000	6.462098E-5
51.564000	6.447502E-5
51.570000	7.139678E-5
51.576000	7.770914E-5
51.582000	7.806540E-5
51.588000	8.482186E-5
51.594000	8.522653E-5
51.600000	9.270676E-5
51.606000	0.000100
51.612000	0.000101
51.618000	0.000109
51.624000	0.000108
51.630000	0.000117
51.636000	0.000126
51.642000	0.000126
51.648000	0.000136
51.654000	0.000136
51.660000	0.000145
51.666000	0.000154
51.672000	0.000154
51.678000	0.000165
51.684000	0.000165
51.690000	0.000175
51.696000	0.000186
51.702000	0.000187
51.708000	0.000197
51.714000	0.000197
51.720000	0.000209
51.726000	0.005168
51.732000	0.005168
51.738000	0.005217
51.744000	0.005222
51.750000	0.005275
51.756000	0.005325
51.762000	0.005328
51.768000	0.005370
51.774000	0.005373
51.780000	0.005420
51.786000	0.005470
51.792000	0.005471
51.798000	0.005518
51.804000	0.005518
51.810000	0.005562
51.816000	0.005604
51.822000	0.005604
51.828000	0.005650
51.834000	0.005650
51.840000	0.005691
51.846000	0.005731
51.852000	0.005735
51.858000	0.005779
51.864000	0.005771
51.870000	0.005819
51.876000	0.005863
51.882000	0.005862
51.888000	0.005903
51.894000	0.005896
51.900000	0.005925
51.906000	0.005971
51.912000	0.005967
51.918000	0.006008
51.924000	0.006013
51.930000	0.006052
51.936000	0.006089
51.942000	0.006093
51.948000	0.006128
51.954000	0.006117
51.960000	0.006160
51.966000	0.006199
51.972000	0.006196
51.978000	0.006229
51.984000	0.006248
51.990000	0.006276
51.996000	0.006314
52.002000	0.006291
52.008000	0.006351
52.014000	0.006351
52.020000	0.006381
52.026000	0.006498
52.032000	0.006428
52.038000	0.006466
52.044000	0.006462
52.050000	0.006493
52.056000	0.006526
52.062000	0.006527
52.068000	0.006569
52.074000	0.006570
52.080000	0.006603
52.086000	0.006640
52.092000	0.006640
52.098000	0.006682
52.104000	0.006688
52.110000	0.006731
52.116000	0.006767
52.122000	0.006764
52.128000	0.006801
52.134000	0.006799
52.140000	0.006837
52.146000	0.006874
52.152000	0.006876
52.158000	0.006915
52.164000	0.006916
52.170000	0.006959
52.176000	0.007002
52.182000	0.007001
52.188000	0.007031
52.194000	0.007037
52.200000	0.007068
52.206000	0.007111
52.212000	0.007103
52.218000	0.007145
52.224000	0.007147
52.230000	0.007178
52.236000	0.007212
52.242000	0.007212
52.248000	0.007252
52.254000	0.007254
52.260000	0.007284
52.266000	0.007318
52.272000	0.007320
52.278000	0.007355
52.284000	0.007356
52.290000	0.007394
52.296000	0.007432
52.302000	0.007425
52.308000	0.007466
52.314000	0.007469
52.320000	0.007496
52.326000	0.007579
52.332000	0.007536
52.338000	0.007571
52.344000	0.007566
52.350000	0.007599
52.356000	0.007642
52.362000	0.007650
52.368000	0.007687
52.374000	0.007685
52.380000	0.007728
52.386000	0.007760
52.392000	0.007762
52.398000	0.007800
52.404000	0.007798
52.410000	0.007836
52.416000	0.007865
52.422000	0.007865
52.428000	0.007912
52.434000	0.007901
52.440000	0.007943
52.446000	0.007977
52.452000	0.007975
52.458000	0.008016
52.464000	0.008016
52.470000	0.008048
52.476000	0.008084
52.482000	0.008088
52.488000	0.008127
52.494000	0.008123
52.500000	0.008161
52.506000	0.008199
52.512000	0.008204
52.518000	0.008236
52.524000	0.008231
52.530000	0.008278
52.536000	0.008300
52.542000	0.008298
52.548000	0.008341
52.554000	0.008346
52.560000	0.008384
52.566000	0.008453
52.572000	0.008452
52.578000	0.008491
52.584000	0.008486
52.590000	0.008519
52.596000	0.008554
52.602000	0.008555
52.608000	0.008607
52.614000	0.008596
52.620000	0.008628
52.626000	0.008664
52.632000	0.008661
52.638000	0.008701
52.644000	0.008710
52.650000	0.008747
52.656000	0.008778
52.662000	0.008772
52.668000	0.008806
52.674000	0.008870
52.680000	0.008833
52.686000	0.008871
52.692000	0.008880
52.698000	0.008898
52.704000	0.008913
52.710000	0.008947
52.716000	0.008991
52.722000	0.008995
52.728000	0.009022
52.734000	0.009026
52.740000	0.009066
52.746000	0.009104
52.752000	0.009100
52.758000	0.009141
52.764000	0.009142
52.770000	0.009181
52.776000	0.009234
52.782000	0.009232
52.788000	0.009270
52.794000	0.009268
52.800000	0.009313
52.806000	0.009347
52.812000	0.009345
52.818000	0.009389
52.824000	0.009397
52.830000	0.009431
52.836000	0.009470
52.842000	0.009473
52.848000	0.009505
52.854000	0.009502
52.860000	0.009545
52.866000	0.009581
52.872000	0.009582
52.878000	0.009619
52.884000	0.009620
52.890000	0.009664
52.896000	0.009695
52.902000	0.009705
52.908000	0.009742
52.914000	0.009752
52.920000	0.009791
52.926000	0.009845
52.932000	0.009848
52.938000	0.009892
52.944000	0.009887
52.950000	0.009930
52.956000	0.009964
52.962000	0.009972
52.968000	0.010012
52.974000	0.009996
52.980000	0.010043
52.986000	0.010082
52.992000	0.010085
52.998000	0.010124
53.004000	0.010121
53.010000	0.010171
53.016000	0.010233
53.022000	0.010265
53.028000	0.010284
53.034000	0.010286
53.040000	0.010324
53.046000	0.010371
53.052000	0.010369
53.058000	0.010412
53.064000	0.010425
53.070000	0.010469
53.076000	0.010493
53.082000	0.010491
53.088000	0.010552
53.094000	0.010537
53.100000	0.010583
53.106000	0.010625
53.112000	0.010628
53.118000	0.010668
53.124000	0.010676
53.130000	0.010715
53.136000	0.010740
53.142000	0.010730
53.148000	0.010778
53.154000	0.010790
53.160000	0.010833
53.166000	0.010870
53.172000	0.010872
53.178000	0.010925
53.184000	0.010905
53.190000	0.010944
53.196000	0.010993
53.202000	0.010991
53.208000	0.011048
53.214000	0.011052
53.220000	0.011086
53.226000	0.011120
53.232000	0.011110
53.238000	0.011157
53.244000	0.011155
53.250000	0.011191
53.256000	0.011243
53.262000	0.011260
53.268000	0.011305
53.274000	0.011289
53.280000	0.011349
53.286000	0.011384
53.292000	0.011375
53.298000	0.011389
53.304000	0.011403
53.310000	0.011435
53.316000	0.011483
53.322000	0.011477
53.328000	0.011528
53.334000	0.011538
53.340000	0.011566
53.346000	0.011610
53.352000	0.011619
53.358000	0.011642
53.364000	0.011646
53.370000	0.011703
53.376000	0.011731
53.382000	0.011727
53.388000	0.011789
53.394000	0.011782
53.400000	0.011813
53.406000	0.011859
53.412000	0.011868
53.418000	0.011905
53.424000	0.011918
53.430000	0.011958
53.436000	0.011998
53.442000	0.012002
53.448000	0.012048
